Feature,Importance
ElectronMean_9_mean1h_lag72,0.0006160269103285228
ElectronMean_1_std1h_lag144,0.0006155087903573237
BZ_GSE_mean1h_lag12,0.000615082247365128
ElectronStd_0_std1h_lag144,0.0006115836028913354
IMF_Magnitude_std1h_lag36,0.0006053727664994019
BZ_GSE_mean1h,0.0006030520384605791
BY_GSE_std1h_lag12,0.0005980627226064208
BX_GSE_std1h_lag72,0.0005978881687494183
ElectronMean_0_std1h_lag144,0.0005906086117431816
ProtonMean_6_mean1h_lag144,0.0005887260141666463
BZ_GSE_std1h_lag72,0.0005877222906047175
BZ_GSE_std1h_lag36,0.0005836712201153658
IMF_Magnitude_std1h_lag6,0.0005827613488439519
BZ_GSE_lag144,0.0005799353603037677
BX_GSE_std1h_lag6,0.0005731925073380348
BZ_GSE_mean1h_lag36,0.0005695293353477211
ElectronMax_9_mean1h_lag144,0.0005681599583350646
IntegralStd_mean1h_lag72,0.0005665151735047408
ElectronMax_9_mean1h_lag72,0.0005526107447556142
BZ_GSE_mean1h_lag6,0.0005497792212800732
ProtonMean_7_mean1h_lag144,0.0005339817034088155
BY_GSE_lag144,0.0005326655309689332
VBz_mean1h_lag72,0.0005292322351043477
VBz,0.0005283232612571793
BX_GSE_lag144,0.000526319700148245
BZ_GSE_mean1h_lag144,0.0005222368903607161
Dynamic_Pressure,0.0005132393174038355
ElectronStd_8_std1h_lag144,0.0005131350820588921
BY_GSE,0.0005129152542743829
BY_GSE_lag72,0.0005079339719016856
ElectronMax_8_std1h_lag144,0.0005069103929020222
IntegralStd_mean1h_lag144,0.0005036447230050677
BX_GSE_lag72,0.0005004575497476583
BX_GSE_mean1h_lag36,0.0004958991617054667
flow_speed_mean1h_lag144,0.0004951274369732529
BY_GSE_mean1h_lag144,0.0004902970737727189
proton_density_lag36,0.00048962146523909
BX_GSE_mean1h_lag12,0.0004879504440025487
BX_GSE_mean1h_lag144,0.0004865036354633014
Dynamic_Pressure_lag6,0.0004858317670286046
BZ_GSE_mean1h_lag72,0.00048324677950875404
proton_density_lag12,0.0004804157294752494
Dynamic_Pressure_lag72,0.00047421220639011773
IMF_Magnitude_lag144,0.0004686064202255362
BX_GSE_lag6,0.00046723694392032536
IMF_Magnitude,0.0004663794527140699
ElectronMax_8_lag144,0.0004651112300446756
BY_GSE_mean1h_lag36,0.00046453740467776585
Dynamic_Pressure_lag144,0.000462560798253032
BY_GSE_mean1h,0.00046017049035605446
proton_density,0.0004575803714984493
proton_density_mean1h_lag144,0.00045578005853434954
BY_GSE_mean1h_lag12,0.0004549239769708362
IMF_Magnitude_lag36,0.00045400114321025056
IMF_Magnitude_lag72,0.00045304433027230174
BY_GSE_mean1h_lag72,0.00045008141955899786
flow_speed_lag144,0.0004491307645417842
proton_density_lag72,0.0004481251776829849
BX_GSE_mean1h_lag72,0.0004478060968104938
ElectronMean_8_mean1h_lag72,0.0004463862384328215
ElectronMean_8_lag144,0.0004456217058856691
IntegralMean_mean1h_lag72,0.00044553858427031945
IMF_Magnitude_mean1h_lag144,0.0004448280543515483
IntegralMean_mean1h_lag144,0.00044362264798301297
proton_density_lag144,0.0004342051728838103
flow_speed_lag72,0.00042366181178609053
proton_density_lag6,0.0004226564876833996
flow_speed_lag36,0.00042037746536303775
IMF_Magnitude_lag6,0.00041788045413631143
IMF_Magnitude_lag12,0.0004160005818427919
flow_speed_lag12,0.00041581539481606953
Dynamic_Pressure_mean1h_lag144,0.0004132734930795666
BX_GSE_mean1h,0.00040860684979480684
IMF_Magnitude_mean1h_lag12,0.0003950221036535352
IMF_Magnitude_mean1h_lag72,0.00038719246592389204
IMF_Magnitude_mean1h_lag36,0.00037787491233797816
ElectronMean_8_mean1h_lag144,0.0003759639415821176
flow_speed_lag6,0.00035497735094830435
flow_speed,0.0003521597137342154
ElectronMax_8_mean1h_lag144,0.0003369099666041009
IMF_Magnitude_mean1h,0.0003231708570264114
day,0.000290707823539653
month,0.00021981379598929438
dayofweek,0.00013049152052753716
