Feature,Importance
ElectronMax_9_lag6,0.0013045674142280457
ElectronMean_9_std1h,0.0012881088173026896
BX_GSE_lag144,0.0012709640286152177
BX_GSE_std1h_lag6,0.0012598174056070927
ElectronMax_9_lag72,0.0012436524844401417
IMF_Magnitude_mean1h,0.001193406056172405
ElectronMean_8_mean1h_lag72,0.001189825183639185
ProtonMean_7_mean1h_lag144,0.0011802164272150415
IntegralStd_std1h_lag6,0.0011426552694315407
ElectronStd_1_lag144,0.001132228111910687
BX_GSE_lag6,0.0011285756059096848
ElectronStd_9_std1h_lag12,0.0011199694538520143
Dynamic_Pressure_mean1h_lag144,0.0010822518848173253
IMF_Magnitude_mean1h_lag12,0.0010786681104336395
ElectronMean_9_mean1h_lag72,0.0010654565073384137
BX_GSE_std1h_lag144,0.0010564668135614177
flow_speed_std1h,0.0010498875469285096
BX_GSE_mean1h,0.001042152736636354
ElectronMax_9,0.0010253635479593641
ElectronStd_9_lag36,0.001019980086090186
IntegralStd_std1h_lag144,0.0009701252997031631
BY_GSE_mean1h,0.0009390716081663929
BY_GSE_lag72,0.0009338136537619565
ElectronMean_9_lag72,0.000924693249750263
ElectronMean_9_lag6,0.0009113789768901048
IntegralStd_lag144,0.0009022641211649365
flow_speed_lag72,0.0008877330329326424
Dynamic_Pressure_lag144,0.0008875849463083754
IMF_Magnitude_lag144,0.0008817311564011582
proton_density_mean1h_lag144,0.0008679462103568208
IMF_Magnitude_mean1h_lag144,0.0008602622013654311
BX_GSE_lag72,0.0008557544261255991
ElectronMax_8_mean1h_lag144,0.0008440595037639116
ElectronStd_0_std1h_lag144,0.0008347215472252111
ElectronMean_0_std1h_lag144,0.000831600448611727
ElectronStd_9_lag12,0.0008218989097059907
BX_GSE_mean1h_lag144,0.0008184500807646905
BY_GSE_mean1h_lag36,0.0008048057156537796
IntegralStd_lag12,0.000770155683823429
IMF_Magnitude_std1h_lag36,0.0007670760680077828
BX_GSE_mean1h_lag12,0.000763349873281222
IMF_Magnitude_mean1h_lag72,0.000741695485924583
ElectronMean_9_std1h_lag36,0.0007219022127874588
IntegralMean_std1h_lag144,0.000721809632347677
flow_speed_std1h_lag72,0.0007146885369262635
flow_speed_lag36,0.0007145528312969364
ElectronStd_9_lag144,0.000710200366052171
BZ_GSE_mean1h_lag72,0.0007048850539135295
ElectronMean_9_lag12,0.0006734767678911942
BX_GSE_std1h_lag72,0.0006611673764508572
BY_GSE_mean1h_lag144,0.0006592514065568209
IMF_Magnitude_lag12,0.0006376063018719094
BX_GSE_mean1h_lag72,0.0006304959978753744
ElectronStd_9_std1h_lag36,0.0006294947139901123
BY_GSE_mean1h_lag12,0.000628623004695459
IMF_Magnitude_lag72,0.0006284632135472811
ElectronStd_9_lag6,0.0006247662806133796
ElectronMean_9_lag36,0.00058325713095682
BY_GSE_mean1h_lag72,0.0005799193323712323
proton_density_lag144,0.0005537212918988141
ElectronMax_9_lag12,0.0004900958099301093
BY_GSE_lag144,0.0004532750345527386
dayofweek,0.0002796418335032228
