Actual30,Pred30,Actual6,Pred6,Actual12,Pred12
0.0,0.84394145,4.07907081049302,0.92082214,0.0,1.0095465
3.4356385271277565,0.84670687,1.8926724959655068,0.92862594,0.0,1.0128307
0.0,0.8348037,0.0,0.9185796,0.0,1.0125499
1.7393440244691227,0.84002113,0.0,0.9214184,0.0,1.009709
3.7701029055221404,0.838786,0.0,0.9177623,0.0,1.0092788
0.0,0.8541961,0.0,0.9214914,0.0,1.0040941
0.0,0.8554249,0.0,0.9176255,0.0,1.0021493
0.0,0.83314776,0.0,0.9094707,0.0,1.0066714
0.0,0.83548236,0.0,0.9113403,0.0,1.0060854
0.0,0.8455267,0.0,0.91722,0.0,1.0046186
0.0,0.8557919,0.0,0.9245876,0.0,0.99982065
0.0,0.85511005,0.0,0.9285283,0.0,0.9997749
2.9433833572393597,0.863665,0.0,0.9331806,0.0,0.99893385
0.0,0.88598394,0.0,0.94883966,3.684921704260301,0.99156207
3.329583514845693,0.875957,0.0,0.94677734,0.0,0.99652535
1.3866631862420573,0.9001914,0.0,0.9553195,1.903004474614531,0.9870972
0.0,0.89898336,0.0,0.9515456,0.0,0.98761195
0.0,0.8897538,0.0,0.9442338,0.0,0.99163413
0.0,0.8880975,0.0,0.9499793,0.0,0.9966833
1.467541915389348,0.87859297,0.0,0.9417305,0.0,1.0086477
3.0761073915117185,0.8659836,0.0,0.9322085,0.0,1.015007
3.0818931359892754,0.84208703,0.0,0.93198967,0.0,1.0268617
0.0,0.83944964,0.0,0.9356957,0.0,1.0261276
0.0,0.82170844,0.0,0.9225719,0.0,1.0294898
0.0,0.8197926,0.0,0.9361771,0.0,1.0322618
0.0,0.8344134,0.0,0.9270408,0.0,1.0208552
0.0,0.8488647,0.0,0.92295897,3.9939902937643064,1.0138671
0.0,0.8168583,0.0,0.91552705,2.8702976780496257,1.0279353
0.0,0.79277,0.0,0.90310526,0.0,1.0354974
0.0,0.78211546,0.0,0.9036709,2.2717632072120115,1.0434155
0.2977763272468517,0.7591741,0.0,0.916454,2.9699622728136137,1.0602491
0.0,0.765149,0.0,0.9306434,0.0,1.0595376
0.7527746596356246,0.78644776,0.0,0.94763935,0.0,1.0516906
0.0,0.7689762,0.0,0.94970167,0.0,1.0699313
3.740973133064344,0.77155334,3.185839440482786,0.9471173,0.0,1.0678561
1.4541274009195835,0.76376283,0.0,0.9409615,0.0,1.0749047
0.0,0.7570394,0.0,0.94495654,0.0,1.0714623
0.0,0.72397006,0.0,0.9342921,2.996537136790002,1.0857071
0.0,0.73480594,0.0,0.94748515,0.0,1.081682
0.0,0.70728815,0.0,0.9373684,0.0,1.0928776
0.0,0.7064854,0.0,0.9390588,0.0,1.1020749
0.0,0.72463965,0.0,0.9461139,0.0,1.1030085
0.0,0.75772166,0.0,0.9293909,0.0,1.0805256
3.366319712027305,0.7742014,0.0,0.9212584,0.0,1.0609583
0.0,0.7472285,0.0,0.9203314,0.0,1.0729795
0.0,0.72054493,0.0,0.90789145,0.0,1.0808778
3.6990298854749883,0.7199408,0.0,0.8908208,0.0,1.0734246
0.0,0.72733855,0.0,0.8763785,0.0,1.0621722
0.0,0.73474073,0.0,0.8599287,0.0,1.0538335
1.7273269062896497,0.71367,2.6080195646685667,0.85927624,0.0,1.0668519
0.0,0.72301304,0.0,0.84986454,0.0,1.0642253
0.0,0.7581705,0.0,0.8478284,0.0,1.0636528
0.0,0.7869278,2.526465219893671,0.8983375,0.0,1.1369001
2.8538524876372553,0.9036474,0.0,1.0121977,0.0,1.2123678
0.0,0.8732513,0.0,0.9750642,3.7902670153980873,1.2083708
0.0,0.811216,0.0,0.9841481,0.0,1.2636244
0.0,0.80548716,0.0,0.9536122,0.0,1.2438769
0.0,0.80395377,0.0,0.94406563,0.0,1.2288886
0.0,0.8163624,0.0,0.9526413,3.019874208604907,1.2378712
0.0,0.84123087,0.0,0.938604,2.4547152676602297,1.2112732
2.958411122277629,0.87101185,0.0,0.9200699,0.0,1.1631815
0.0,0.91309285,0.0,0.8931247,0.0,1.1054034
0.0,0.906927,0.0,0.8852049,0.0,1.1043279
0.0,0.84204113,0.0,0.8936793,3.11038354539031,1.1555536
0.0,0.8642204,0.0,0.88368,0.0,1.1295125
0.0,0.8738115,0.0,0.87995857,2.7550955879328907,1.1196299
4.07907081049302,0.87349284,0.0,0.9136857,0.0,1.164529
1.8926724959655068,0.8974594,0.0,0.9428162,0.0,1.1875854
0.0,0.89580154,2.872008714324287,0.9291202,0.0,1.1718457
0.0,0.8918451,0.0,0.9233492,0.0,1.1663492
0.0,0.8490708,0.0,0.91147,0.0,1.1737921
0.0,0.8293253,0.0,0.90146685,0.7422718808585309,1.1703751
0.0,0.826288,0.0,0.89882165,2.620513228802755,1.1675389
0.0,0.8415129,0.0,0.90139985,2.531189324075793,1.1657469
0.0,0.8375546,0.0,0.9004096,0.0,1.1669693
0.0,0.84143007,0.0,0.9074912,3.808257794556934,1.1733778
0.0,0.84516644,0.0,0.9058583,2.9991814802438173,1.1717885
0.0,0.8579935,0.0,0.91191185,0.0,1.1776514
0.0,0.866464,0.0,0.9069922,0.0,1.1675271
0.0,0.8604667,0.0,0.91582346,0.0,1.1855597
0.0,0.87116385,0.0,0.9112531,0.0,1.1847456
0.0,0.86881554,0.0,0.90860474,0.0,1.1930776
0.0,0.87185156,0.0,0.9021388,1.4753187747510281,1.1865149
0.0,0.8792745,0.0,0.89443034,2.596671091188274,1.183727
0.0,0.88027406,0.0,0.8984234,0.0,1.1909704
0.0,0.8602625,3.684921704260301,0.9075347,3.2828278550838625,1.2154301
0.0,0.82387364,0.0,0.92197305,0.8988935515307857,1.2536588
0.0,0.85347617,1.903004474614531,0.883229,3.676509540983185,1.1951923
0.0,0.8686737,0.0,0.8611997,0.0,1.1456039
0.0,0.876349,0.0,0.8497853,0.0,1.0957191
0.0,0.896026,0.0,0.8496419,4.614638615811743,1.080213
0.0,0.90403867,0.0,0.8435138,0.0,1.0705142
0.0,0.8816844,0.0,0.8402066,3.009043740830011,1.0967774
0.0,0.91202915,0.0,0.8441757,0.0,1.0439239
0.0,0.9194652,0.0,0.8706744,0.0,1.0425255
0.0,0.87038267,0.0,0.89161706,2.8515125109816113,1.1032884
0.0,0.8854511,0.0,0.9161129,0.0,1.0986497
0.0,0.8852389,0.0,0.8923813,0.0,1.0828614
0.0,0.8658658,3.9939902937643064,0.90895593,0.0,1.1172526
0.0,0.86990774,2.8702976780496257,0.9033507,0.0,1.1165054
3.185839440482786,0.85289633,0.0,0.9175941,0.0,1.1524704
0.0,0.85212505,2.2717632072120115,0.9540315,1.6230257319099117,1.2057517
0.0,0.8631891,2.9699622728136137,0.94191647,0.0,1.171333
0.0,0.86777556,0.0,0.9196719,0.0,1.1295426
0.0,0.8727305,0.0,0.91840243,3.878654264454023,1.1122198
0.0,0.87279606,0.0,0.9651177,0.0,1.1272953
0.0,0.89486,0.0,1.0187955,3.3962213375825794,1.167803
0.0,0.8849615,0.0,0.94565403,0.0,1.1306319
0.0,0.8721485,0.0,0.8760179,3.5791724070964523,1.0919596
0.0,0.86885715,2.996537136790002,0.8077802,0.0,1.0463426
0.0,0.9059117,0.0,0.8372327,3.2938310092729983,1.0612586
0.0,0.91376543,0.0,0.7970043,3.5924891127454406,1.0288478
0.0,0.9555931,0.0,0.8620449,0.0,1.1027542
0.0,0.96366715,0.0,0.8582939,2.0388690881199003,1.0876287
0.0,0.988112,0.0,0.8570062,0.0,1.0520885
2.6080195646685667,0.9609908,0.0,0.83286834,0.0,1.069607
0.0,0.93771076,0.0,0.812128,2.234447369745003,1.0576316
0.0,0.9442191,0.0,0.81725514,3.385192514967025,1.0561583
2.526465219893671,0.943691,0.0,0.83944905,0.0,1.0725474
0.0,0.9265528,0.0,0.87808573,0.0,1.1092511
0.0,0.93914473,0.0,0.8809742,3.9451147836267104,1.0972052
0.0,0.91999507,0.0,0.8433826,0.0,1.0566444
0.0,0.92987883,0.0,0.82971543,2.8847217305764827,1.0340475
0.0,0.9265841,0.0,0.8442132,0.0,1.0517993
0.0,0.91555,0.0,0.7908122,0.0,1.0123746
0.0,0.95722115,0.0,0.82720864,0.0,1.0191641
0.0,0.93993294,3.7902670153980873,0.7993853,2.272612514591935,1.0010374
0.0,0.9189218,0.0,0.78003937,3.3255334268022403,0.99062353
0.0,0.9302807,0.0,0.7877315,0.0,1.0037196
0.0,0.9528378,0.0,0.80064887,0.0,0.9893469
0.0,0.95334125,3.019874208604907,0.8100448,0.0,1.0087351
0.0,0.95350564,2.4547152676602297,0.80592793,0.0,1.014261
0.0,0.9614519,0.0,0.8108067,0.0,0.99589807
0.0,0.95130146,0.0,0.8040898,0.0,1.0018582
2.872008714324287,0.949867,0.0,0.80393535,0.0,0.9998843
0.0,0.9479718,3.11038354539031,0.81177974,0.0,1.0115387
0.0,0.95202696,0.0,0.81635255,0.0,1.0128384
0.0,0.95863795,2.7550955879328907,0.8339032,2.159909607660161,1.029181
0.0,0.9465984,0.0,0.81630814,0.0,1.0140393
0.0,0.9561628,0.0,0.8133689,0.0,1.0072204
0.0,0.9445206,0.0,0.81194055,0.0,1.0103655
0.0,0.9403286,0.0,0.80849844,0.0,1.0064147
0.0,0.9447099,0.0,0.8006669,0.0,0.9978923
0.0,0.94999135,0.7422718808585309,0.7999189,0.0,0.9962844
0.0,0.9505831,2.620513228802755,0.8008494,2.5225738777288154,0.9970109
0.0,0.9504936,2.531189324075793,0.7985532,0.0,0.99388313
0.0,0.9462638,0.0,0.7978396,0.0,0.99629986
0.0,0.94700456,3.808257794556934,0.7957101,0.0,0.9944016
0.0,0.9481211,2.9991814802438173,0.7957531,0.0,0.99125355
