Model,RMSE,MAE,R2
Ensemble,1.3964434699071973,1.1196730199931186,0.5300312443876949
LightGBM,1.40085780043101,1.1267012089657744,0.5269742456497043
XGBoost,1.404728689374535,1.1307330118193029,0.5243238445562153
RandomForest,1.4212909142646482,1.174904358377595,0.5127485758521083
LSTM,1.750363722282582,1.486456625905772,0.26625341056285556
GRU,1.751591479767361,1.5173134348548292,0.2647859617247011
