Actual30,Pred30,Actual6,Pred6,Actual12,Pred12
0.0,0.7672949176365618,4.07907081049302,0.3007633592717196,0.0,0.43805807327005064
3.4356385271277565,0.7422745302028465,1.8926724959655068,0.4262932654620751,0.0,0.5615774467091403
0.0,0.7357369172594944,0.0,0.3026588937790645,0.0,0.42928676945066235
1.7393440244691227,0.7576487578267445,0.0,0.36473852245736993,0.0,0.49822563412165166
3.7701029055221404,0.7027948490924543,0.0,0.4602235693124958,0.0,0.7111759698452446
0.0,0.7556662035077327,0.0,0.31152858236379616,0.0,0.5597665122812654
0.0,0.7049010599977542,0.0,0.32375464679371535,0.0,0.5516579366601249
0.0,0.948219970859539,0.0,0.318205338577285,0.0,0.5215835589623896
0.0,0.7296278953677096,0.0,0.3306039169785406,0.0,0.4896847228295481
0.0,0.7296014835469715,0.0,0.32616596387247193,0.0,0.6124606323224416
0.0,0.8156777008028004,0.0,0.3343950693129974,0.0,0.5928958674248282
0.0,0.7850843478453094,0.0,0.41172768515642344,0.0,0.6267091425331783
2.9433833572393597,0.8894051196823644,0.0,0.4025906935266882,0.0,0.5648599370133573
0.0,0.7651125318013823,0.0,0.3154797446920308,3.684921704260301,0.5806154654907083
3.329583514845693,0.7373062324985818,0.0,0.3497620801318712,0.0,0.6201138107035925
1.3866631862420573,0.7570561938035204,0.0,0.3569302507501265,1.903004474614531,0.553379735116308
0.0,0.7975178742589686,0.0,0.3820929026348556,0.0,0.5377275954402466
0.0,0.7241120468578202,0.0,0.4238784871622234,0.0,0.6193083651708964
0.0,0.789455678091589,0.0,0.47222112182282766,0.0,0.6407924304959617
1.467541915389348,0.8088307926145116,0.0,0.4002038013172342,0.0,0.6334855934311411
3.0761073915117185,0.7159837845447834,0.0,0.3663840473430011,0.0,0.48974065090248753
3.0818931359892754,0.7404891360992817,0.0,0.39494450441871215,0.0,0.4962277614773014
0.0,0.6835074428456173,0.0,0.3693716833381453,0.0,0.5270312099781566
0.0,0.6512630922943151,0.0,0.3392703762149865,0.0,0.49145975487340865
0.0,0.683001645060879,0.0,0.35034904933931904,0.0,0.563306940974338
0.0,0.7605633717209347,0.0,0.3615222221941627,0.0,0.5717214252510132
0.0,0.7106772607588414,0.0,0.3538475663251438,3.9939902937643064,0.5388343190500805
0.0,0.7514258718267205,0.0,0.3419527177625205,2.8702976780496257,0.6273854993710138
0.0,0.7458367933178164,0.0,0.36153781293216114,0.0,0.5144957295739381
