Actual30,Pred30,Actual6,Pred6,Actual12,Pred12
0.0,0.83865774,4.07907081049302,0.27137303,0.0,0.47498313
3.4356385271277565,0.7899221,1.8926724959655068,0.50577563,0.0,0.53232604
0.0,0.8668955,0.0,0.2840072,0.0,0.44385132
1.7393440244691227,0.91683066,0.0,0.3718904,0.0,0.5222279
3.7701029055221404,0.72254694,0.0,0.5556141,0.0,0.59294105
0.0,0.78134435,0.0,0.2872663,0.0,0.37226167
0.0,0.83560514,0.0,0.31254244,0.0,0.51643085
0.0,1.1770717,0.0,0.30649838,0.0,0.4766623
0.0,0.8111071,0.0,0.32318813,0.0,0.42431238
0.0,0.7572633,0.0,0.29948226,0.0,0.6842891
0.0,0.83058107,0.0,0.3272888,0.0,0.7013864
0.0,0.87870157,0.0,0.5197006,0.0,0.74232936
2.9433833572393597,1.0129058,0.0,0.45342514,0.0,0.6757481
0.0,0.84069926,0.0,0.2874512,3.684921704260301,0.64066267
3.329583514845693,0.7438592,0.0,0.3547879,0.0,0.68902016
1.3866631862420573,0.80914694,0.0,0.3738439,1.903004474614531,0.5963772
0.0,0.91590977,0.0,0.39753848,0.0,0.58257645
0.0,0.82961863,0.0,0.486817,0.0,0.7142699
0.0,0.9344327,0.0,0.54206014,0.0,0.87344885
1.467541915389348,0.9076267,0.0,0.40634972,0.0,0.69866115
3.0761073915117185,0.8573668,0.0,0.36921522,0.0,0.5281664
3.0818931359892754,0.76727426,0.0,0.4326279,0.0,0.5692463
0.0,0.75050616,0.0,0.3645345,0.0,0.6101422
0.0,0.72803205,0.0,0.32915086,0.0,0.5964649
0.0,0.7621517,0.0,0.34065202,0.0,0.64541686
0.0,0.7764115,0.0,0.35330826,0.0,0.70791054
0.0,0.7559459,0.0,0.33277386,3.9939902937643064,0.7304758
0.0,0.75268286,0.0,0.31190488,2.8702976780496257,0.8063432
0.0,0.72446597,0.0,0.3647232,0.0,0.5873352
0.0,0.8274857,0.0,0.32191783,2.2717632072120115,0.6185245
0.2977763272468517,0.7921619,0.0,0.34417257,2.9699622728136137,0.60872424
0.0,0.90602475,0.0,0.39961,0.0,0.48787913
0.7527746596356246,0.78896236,0.0,0.39081058,0.0,0.5714643
0.0,0.65103513,0.0,0.40338683,0.0,0.62501585
3.740973133064344,0.6139563,3.185839440482786,0.31668591,0.0,0.51819694
1.4541274009195835,0.71890754,0.0,0.43724436,0.0,0.5598713
0.0,0.6992607,0.0,0.2503402,0.0,0.5482765
0.0,0.6290793,0.0,0.35802993,2.996537136790002,0.5229691
0.0,0.84289855,0.0,0.40400788,0.0,0.42987317
0.0,0.6751667,0.0,0.39158475,0.0,0.55701756
0.0,0.61889875,0.0,0.32719105,0.0,0.517245
0.0,0.75604755,0.0,0.2061734,0.0,0.7096321
0.0,0.71175915,0.0,0.3045147,0.0,0.500265
3.366319712027305,0.7251939,0.0,0.42622846,0.0,0.5111045
0.0,0.67737156,0.0,0.38396296,0.0,0.56566757
0.0,0.50771296,0.0,0.38155434,0.0,0.5139344
3.6990298854749883,0.49638346,0.0,0.43789274,0.0,0.5756107
0.0,0.43025655,0.0,0.358809,0.0,0.57068723
0.0,0.5264659,0.0,0.42114517,0.0,0.5049883
1.7273269062896497,0.5131069,2.6080195646685667,0.4220956,0.0,0.3850051
0.0,0.39719123,0.0,0.42276514,0.0,0.4475265
0.0,0.47378355,0.0,0.39213392,0.0,0.5489719
0.0,0.45829287,2.526465219893671,0.4585388,0.0,0.43904728
2.8538524876372553,0.29625103,0.0,0.40965548,0.0,0.5214706
0.0,0.41368878,0.0,0.52277213,3.7902670153980873,0.71065116
0.0,0.39031035,0.0,0.5005027,0.0,0.63014567
0.0,0.46068048,0.0,0.4808592,0.0,0.5452312
0.0,0.36821333,0.0,0.6202871,0.0,0.90273285
0.0,0.34080452,0.0,0.5080654,3.019874208604907,1.2009863
0.0,0.3745162,0.0,0.29252586,2.4547152676602297,0.9184598
2.958411122277629,0.36521795,0.0,0.41875497,0.0,0.9274831
0.0,0.35414246,0.0,0.50651765,0.0,0.99441576
0.0,0.3648609,0.0,0.4158773,0.0,0.94678247
0.0,0.2955231,0.0,0.4478235,3.11038354539031,1.1503795
0.0,0.27261624,0.0,0.4391887,0.0,0.906289
0.0,0.4245259,0.0,0.31484342,2.7550955879328907,0.8226902
4.07907081049302,0.47754043,0.0,0.4506881,0.0,0.8089536
1.8926724959655068,0.4617489,0.0,0.3507482,0.0,0.73440707
0.0,0.42246392,2.872008714324287,0.2767517,0.0,0.84173995
0.0,0.34319904,0.0,0.47035968,0.0,0.6243872
0.0,0.43951547,0.0,0.56923985,0.0,0.7007283
0.0,0.4479326,0.0,0.4201631,0.7422718808585309,0.8568378
0.0,0.4454383,0.0,0.33200368,2.620513228802755,0.9835312
0.0,0.47137016,0.0,0.33757383,2.531189324075793,0.9216708
0.0,0.4872138,0.0,0.56930155,0.0,0.77016824
0.0,0.5651887,0.0,0.4553692,3.808257794556934,0.74378294
0.0,0.5442652,0.0,0.48140594,2.9991814802438173,0.8577844
0.0,0.40021974,0.0,0.59095323,0.0,1.0865966
0.0,0.44186994,0.0,0.3315513,0.0,1.0922133
0.0,0.34951532,0.0,0.48255983,0.0,0.88417256
0.0,0.40405563,0.0,0.2651533,0.0,0.7668268
0.0,0.3592353,0.0,0.39069533,0.0,1.1166129
0.0,0.53261894,0.0,0.44754475,1.4753187747510281,1.1889926
0.0,0.32120866,0.0,0.47407085,2.596671091188274,1.0316288
0.0,0.42769817,0.0,0.44645745,0.0,0.9996322
0.0,0.49807924,3.684921704260301,0.57937914,3.2828278550838625,0.8826154
0.0,0.4000967,0.0,0.40985373,0.8988935515307857,0.82808286
0.0,0.25089532,1.903004474614531,0.5116279,3.676509540983185,0.90890425
0.0,0.41568822,0.0,0.3968039,0.0,0.91444975
0.0,0.34006542,0.0,0.4023308,0.0,0.8969991
0.0,0.39340875,0.0,0.43019265,4.614638615811743,1.0262824
0.0,0.44452825,0.0,0.41581944,0.0,0.87877345
0.0,0.47640967,0.0,0.738112,3.009043740830011,1.0521799
0.0,0.3235219,0.0,0.4085748,0.0,0.9749504
0.0,0.5152823,0.0,0.44411647,0.0,0.8978397
0.0,0.42177722,0.0,0.33262962,2.8515125109816113,0.8264116
0.0,0.42343932,0.0,0.5393558,0.0,0.90710205
