Actual30,Pred30,Actual6,Pred6,Actual12,Pred12
0.0,0.6809708,4.07907081049302,0.8510941,0.0,1.312154
3.4356385271277565,0.6915642,1.8926724959655068,0.7823185,0.0,1.2625549
0.0,0.6894912,0.0,0.798756,0.0,1.2854688
1.7393440244691227,0.6973695,0.0,0.8215161,0.0,1.2781034
3.7701029055221404,0.68709236,0.0,0.81315964,0.0,1.2953055
0.0,0.69955593,0.0,0.8008354,0.0,1.268496
0.0,0.7207314,0.0,0.7863827,0.0,1.1954651
0.0,0.69989944,0.0,0.7938943,0.0,1.2500525
0.0,0.6746032,0.0,0.77607036,0.0,1.296365
0.0,0.68491054,0.0,0.7562978,0.0,1.2488098
0.0,0.69470847,0.0,0.75566065,0.0,1.2258296
0.0,0.7101075,0.0,0.7490855,0.0,1.1902068
2.9433833572393597,0.7016687,0.0,0.75992155,0.0,1.2200437
0.0,0.6921456,0.0,0.75516146,3.684921704260301,1.2371628
3.329583514845693,0.68830353,0.0,0.7408986,0.0,1.2330571
1.3866631862420573,0.6740931,0.0,0.74970865,1.903004474614531,1.2699915
0.0,0.6640834,0.0,0.76065713,0.0,1.3015945
0.0,0.6562613,0.0,0.76625335,0.0,1.3257428
0.0,0.65525013,0.0,0.74669755,0.0,1.3074088
1.467541915389348,0.65533674,0.0,0.7577179,0.0,1.3106338
3.0761073915117185,0.6288178,0.0,0.77668893,0.0,1.3900456
3.0818931359892754,0.63102186,0.0,0.79522383,0.0,1.4100025
0.0,0.63294005,0.0,0.7939992,0.0,1.4087062
0.0,0.6439338,0.0,0.7734134,0.0,1.3730322
0.0,0.6676346,0.0,0.7618777,0.0,1.3081409
0.0,0.66148376,0.0,0.7748709,0.0,1.3342637
0.0,0.6615716,0.0,0.80631673,3.9939902937643064,1.387336
0.0,0.66132766,0.0,0.7963462,2.8702976780496257,1.372333
0.0,0.6582282,0.0,0.7905062,0.0,1.3742428
0.0,0.65636265,0.0,0.7861866,2.2717632072120115,1.3728139
0.2977763272468517,0.6671343,0.0,0.72438216,2.9699622728136137,1.2803952
0.0,0.6745925,0.0,0.7139872,0.0,1.2642181
0.7527746596356246,0.6511496,0.0,0.74016476,0.0,1.3230629
0.0,0.65614724,0.0,0.73050344,0.0,1.3091456
3.740973133064344,0.63991445,3.185839440482786,0.76226354,0.0,1.3698972
1.4541274009195835,0.6558504,0.0,0.7518445,0.0,1.3365277
0.0,0.6438192,0.0,0.7664882,0.0,1.3768563
0.0,0.6475363,0.0,0.7518944,2.996537136790002,1.3597684
0.0,0.629213,0.0,0.8026074,0.0,1.4575537
0.0,0.6260825,0.0,0.7990945,0.0,1.4602234
0.0,0.6264608,0.0,0.80383736,0.0,1.4705567
0.0,0.6187048,0.0,0.79997325,0.0,1.4831911
0.0,0.63043064,0.0,0.84646744,0.0,1.4713666
3.366319712027305,0.66286635,0.0,0.9068867,0.0,1.3979776
0.0,0.67294544,0.0,0.90751576,0.0,1.3887457
0.0,0.6780755,0.0,0.9092021,0.0,1.3901501
3.6990298854749883,0.6822043,0.0,0.9143207,0.0,1.3892044
0.0,0.68036383,0.0,0.92015564,0.0,1.4042585
0.0,0.68078315,0.0,0.9346832,0.0,1.4325
1.7273269062896497,0.6968836,2.6080195646685667,0.8906417,0.0,1.3918421
0.0,0.7087765,0.0,0.8860274,0.0,1.3926768
0.0,0.7179317,0.0,0.89572114,0.0,1.4152256
0.0,0.7064118,2.526465219893671,0.9586308,0.0,1.5356741
2.8538524876372553,0.68931955,0.0,1.0655016,0.0,1.5170468
0.0,0.7165877,0.0,1.0489635,3.7902670153980873,1.4958166
0.0,0.7378888,0.0,1.030813,0.0,1.4994441
0.0,0.72177315,0.0,1.1170307,0.0,1.4394699
0.0,0.74071467,0.0,1.059435,0.0,1.4669476
0.0,0.76507217,0.0,1.0308747,3.019874208604907,1.4315774
0.0,0.77012354,0.0,0.9920205,2.4547152676602297,1.3787527
2.958411122277629,0.8052894,0.0,1.0611838,0.0,1.4506156
0.0,0.8032255,0.0,1.1117215,0.0,1.463748
0.0,0.82459295,0.0,0.94927657,0.0,1.304513
0.0,0.8250962,0.0,1.0012529,3.11038354539031,1.3690476
0.0,0.8653954,0.0,0.9894402,0.0,1.3141171
0.0,0.87650585,0.0,1.0017344,2.7550955879328907,1.3115671
4.07907081049302,0.8532492,0.0,1.0191363,0.0,1.3648067
1.8926724959655068,0.83949614,0.0,1.0256288,0.0,1.3816202
0.0,0.8688355,2.872008714324287,1.0430048,0.0,1.3421032
0.0,0.8719907,0.0,1.0377116,0.0,1.3268576
0.0,0.85874075,0.0,0.9663408,0.0,1.2635121
0.0,0.8371261,0.0,1.0290079,0.7422718808585309,1.3147764
0.0,0.872915,0.0,1.1143887,2.620513228802755,1.3527257
0.0,0.81128824,0.0,1.1380936,2.531189324075793,1.4358971
0.0,0.7994753,0.0,1.1219342,0.0,1.4302276
0.0,0.8219595,0.0,1.1522789,3.808257794556934,1.4326787
0.0,0.810711,0.0,1.119828,2.9991814802438173,1.4245601
0.0,0.82593274,0.0,1.096297,0.0,1.4004128
0.0,0.8390366,0.0,1.1627026,0.0,1.4287157
0.0,0.8332745,0.0,1.172157,0.0,1.3860183
0.0,0.80662507,0.0,1.1464843,0.0,1.4106717
