,0
IntegralStd_std1h_lag12,35.0
IntegralStd_mean1h_lag12,35.0
VBz_mean1h_lag72,35.0
ElectronMean_9_std1h_lag72,35.0
ElectronStd_7_mean1h_lag144,35.0
ElectronStd_8_mean1h_lag12,35.0
ElectronStd_9_std1h_lag12,35.0
ProtonMean_0_std1h_lag6,35.0
IntegralStd_lag72,35.0
ElectronStd_9_std1h_lag36,35.0
BY_GSE_std1h_lag12,35.0
BX_GSE_mean1h,34.0
BY_GSE_lag72,34.0
ElectronMax_9_std1h_lag6,34.0
ElectronMean_1_std1h_lag144,34.0
ElectronMax_9_mean1h_lag6,34.0
ElectronMean_2_mean1h_lag144,34.0
Dynamic_Pressure_mean1h_lag144,34.0
ElectronMean_8_lag36,34.0
IntegralMean_std1h_lag12,34.0
IntegralMean_lag72,34.0
IntegralStd_lag36,34.0
ElectronStd_8_std1h_lag36,33.0
ElectronMean_7_std1h_lag144,33.0
ProtonMean_0_std1h_lag36,33.0
ElectronStd_1_mean1h_lag144,33.0
ElectronMean_2_std1h_lag144,33.0
ProtonStd_7_std1h_lag144,33.0
flow_speed_std1h_lag144,33.0
BY_GSE_lag6,33.0
BX_GSE_std1h,33.0
ElectronStd_0_mean1h_lag144,32.0
VBz_std1h_lag6,32.0
ElectronMean_8_lag12,32.0
BX_GSE_lag36,32.0
ElectronMax_0_std1h,32.0
proton_density_mean1h_lag6,32.0
Dynamic_Pressure_mean1h_lag12,32.0
ElectronStd_8_std1h,32.0
ElectronMean_8_std1h_lag72,32.0
ElectronMean_0_mean1h_lag144,32.0
flow_speed_std1h_lag6,32.0
ProtonStd_0_mean1h_lag36,32.0
ElectronMax_9_lag144,32.0
BZ_GSE_std1h,32.0
ElectronMean_4_std1h_lag36,31.0
ElectronMean_4_std1h,31.0
ElectronMean_0_std1h,31.0
ElectronStd_5_std1h_lag144,31.0
ElectronMean_8_mean1h_lag36,31.0
ProtonStd_0_mean1h_lag72,31.0
BY_GSE_std1h_lag72,31.0
BZ_GSE_lag36,31.0
ElectronMean_0_std1h_lag72,31.0
ElectronStd_0_std1h_lag6,31.0
flow_speed_mean1h,31.0
ElectronMean_9_lag144,31.0
VBz_std1h_lag72,31.0
IntegralStd_mean1h_lag6,31.0
ElectronStd_8_mean1h_lag6,30.0
VBz_mean1h_lag144,30.0
ElectronStd_0_std1h_lag12,30.0
ElectronMean_5_std1h,30.0
ElectronStd_5_mean1h_lag144,30.0
ElectronMax_9_std1h_lag36,30.0
ElectronMean_2_std1h,30.0
ElectronMean_3_std1h,30.0
Dynamic_Pressure_mean1h_lag36,30.0
Dynamic_Pressure_lag12,30.0
BX_GSE_std1h_lag12,30.0
ProtonMean_7_std1h_lag36,30.0
IMF_Magnitude_std1h_lag12,30.0
Dynamic_Pressure_std1h_lag144,30.0
ElectronMax_8_mean1h_lag36,30.0
flow_speed_std1h_lag36,30.0
BX_GSE_std1h_lag36,30.0
BX_GSE,29.0
ElectronStd_8_std1h_lag12,29.0
ElectronStd_8_mean1h_lag36,29.0
ElectronMean_8_mean1h_lag12,29.0
IntegralMean_std1h,29.0
ElectronMax_8_lag36,29.0
ElectronStd_7_lag144,29.0
BY_GSE_std1h_lag36,29.0
ElectronMean_6_mean1h_lag144,29.0
VBz_std1h,29.0
ProtonMean_0_std1h,29.0
VBz_mean1h,29.0
flow_speed_mean1h_lag12,29.0
Dynamic_Pressure_mean1h,29.0
ElectronMean_5_mean1h_lag144,29.0
ProtonStd_0_lag72,29.0
ElectronStd_2,29.0
ElectronMean_3,29.0
ElectronMean_8_lag72,28.0
IMF_Magnitude_std1h_lag72,28.0
ElectronStd_8_lag72,28.0
proton_density_mean1h_lag36,28.0
ElectronStd_9_mean1h_lag6,28.0
ElectronMean_0,28.0
ElectronStd_0,28.0
IntegralMean_std1h_lag36,28.0
ElectronStd_8_std1h_lag72,28.0
ElectronMax_8_std1h_lag72,28.0
ProtonStd_7_std1h_lag36,28.0
VBz_lag6,28.0
ProtonStd_5_lag72,28.0
ElectronMax_8_lag6,28.0
ElectronMean_3_std1h_lag72,28.0
ProtonMean_1,27.0
BZ_GSE_lag12,27.0
VBz_std1h_lag36,27.0
ElectronMean_7_mean1h_lag144,27.0
ElectronMean_7_std1h_lag72,27.0
BY_GSE_lag12,27.0
ElectronMax_1_mean1h_lag144,27.0
ElectronStd_2_mean1h_lag144,27.0
ElectronMax_0_std1h_lag12,27.0
ElectronMax_0_std1h_lag36,27.0
proton_density_std1h_lag12,27.0
ElectronStd_8_mean1h,27.0
ElectronMax_9_std1h_lag72,27.0
proton_density_std1h_lag36,27.0
ElectronStd_1_std1h_lag144,26.0
ElectronMean_4_std1h_lag72,26.0
IMF_Magnitude_mean1h_lag6,26.0
ElectronStd_7,26.0
ElectronMax_8_lag12,26.0
ElectronStd_0_lag36,26.0
ProtonStd_7_mean1h_lag144,26.0
Dynamic_Pressure_lag36,26.0
flow_speed_mean1h_lag6,26.0
ElectronStd_7_lag72,26.0
ProtonMean_2_std1h_lag72,26.0
flow_speed_mean1h_lag36,26.0
ElectronMean_3_std1h_lag144,26.0
ElectronMax_0_std1h_lag72,26.0
ElectronStd_0_std1h_lag36,26.0
BY_GSE_std1h_lag6,26.0
EclipseFlag_mean1h_lag144,26.0
ElectronStd_6_mean1h_lag36,26.0
ElectronMean_2_mean1h_lag36,26.0
ProtonStd_0_mean1h,26.0
ElectronMax_2_mean1h_lag144,26.0
BX_GSE_lag12,26.0
ElectronStd_7_mean1h_lag72,25.0
VBz_mean1h_lag6,25.0
ElectronStd_0_std1h_lag72,25.0
ElectronMax_0_mean1h_lag144,25.0
ElectronMax_3_std1h_lag144,25.0
ElectronMean_6_std1h_lag6,25.0
ElectronMean_0_std1h_lag36,25.0
ElectronStd_6_std1h_lag144,25.0
VBz_mean1h_lag36,25.0
VBz_mean1h_lag12,25.0
ProtonStd_0_mean1h_lag144,25.0
BY_GSE_lag36,25.0
ProtonMax_7_mean1h_lag144,25.0
ElectronMean_0_lag144,25.0
Dynamic_Pressure_std1h_lag12,25.0
BY_GSE_std1h,25.0
ElectronMean_6_lag144,25.0
ElectronMean_3_mean1h_lag144,25.0
ElectronMax_7_std1h,25.0
ElectronStd_2_lag72,25.0
ElectronMean_6_std1h_lag144,25.0
ProtonMax_7_std1h_lag144,24.0
VBz_std1h_lag144,24.0
ElectronStd_8_std1h_lag6,24.0
ElectronStd_1_lag6,24.0
ElectronStd_7_std1h_lag6,24.0
ElectronStd_8_lag12,24.0
ElectronStd_3_mean1h_lag72,24.0
ElectronStd_6_std1h,24.0
ProtonMean_1_std1h_lag72,24.0
ElectronStd_2_lag144,24.0
BZ_GSE_std1h_lag6,24.0
ElectronMax_2_std1h_lag72,24.0
ElectronStd_7_std1h,24.0
ElectronMax_0_mean1h_lag72,24.0
BX_GSE_mean1h_lag6,24.0
BZ_GSE_lag6,24.0
flow_speed_mean1h_lag72,24.0
ProtonMax_5_std1h_lag144,24.0
ProtonMax_6_std1h_lag144,24.0
ProtonMean_9_mean1h_lag144,24.0
ElectronStd_8_mean1h_lag72,23.0
ElectronMax_7_std1h_lag144,23.0
ElectronMax_6_mean1h_lag144,23.0
ElectronStd_1_std1h,23.0
ElectronMax_6_std1h_lag6,23.0
ElectronMax_4_std1h,23.0
ProtonMean_0_mean1h_lag144,23.0
ElectronMax_2_std1h_lag36,23.0
ElectronMean_4_mean1h_lag144,23.0
ElectronStd_7_lag36,23.0
ProtonMean_1_std1h_lag144,23.0
ProtonMax_0_std1h_lag6,23.0
ProtonMax_0_std1h_lag144,23.0
ElectronMean_0_std1h_lag6,23.0
ElectronStd_2_mean1h_lag36,23.0
ElectronMean_7_lag12,23.0
ProtonStd_4_std1h,23.0
ProtonMean_7_std1h_lag144,23.0
ProtonMean_6_lag144,23.0
ProtonStd_0_lag36,23.0
proton_density_std1h,23.0
Dynamic_Pressure_mean1h_lag6,23.0
IMF_Magnitude_std1h_lag144,23.0
ElectronMax_8_std1h_lag6,23.0
ElectronMax_8_mean1h_lag12,23.0
ElectronStd_0_lag72,22.0
ProtonMax_6_mean1h_lag144,22.0
ElectronMax_4_std1h_lag144,22.0
BZ_GSE_std1h_lag144,22.0
ElectronStd_4_mean1h_lag72,22.0
proton_density_std1h_lag144,22.0
BZ_GSE_lag72,22.0
