Target,RMSE,MAE,R2
target_30min,1.2374685513407409,0.9578861381952163,0.6336372734993537
target_6hr,1.4238467271454414,1.1459567479675228,0.5151035303109819
target_12hr,1.528015131235409,1.255176173816617,0.44135292935274906
